target_time,submercado,horizon,pred_gross,pld_brl_mwh,temperature,radiation,weekday,feriado_nacional,carnaval,corpus_christi,emenda,vespera_feriado,pos_feriado,frac_pop_feriado_estadual
2026-09-17 23:00:00-03:00,S,1,12654.58817457267,152.35,11.946428571428571,0.0,3,0,0,0,0,0,0,0.0
2026-09-17 23:00:00-03:00,S,7,12956.915087132067,152.35,11.100274725274726,0.0,3,0,0,0,0,0,0,0.0
2026-09-17 23:00:00-03:00,SECO,1,43511.1915255302,152.77,18.22695878202748,0.0,3,0,0,0,0,0,0,0.0
2026-09-17 23:00:00-03:00,SECO,7,43976.98192719743,152.77,18.01366505755663,0.0,3,0,0,0,0,0,0,0.0
2026-09-18 00:00:00-03:00,N,1,10315.314583802416,64.25,28.42882882882883,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 00:00:00-03:00,N,7,10263.884030523974,64.25,28.162882882882883,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 00:00:00-03:00,NE,1,15678.949387513148,64.24,25.31410628019324,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 00:00:00-03:00,NE,7,15198.712656788764,64.24,25.067149758454107,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 00:00:00-03:00,S,1,11554.257416630791,57.31,11.687912087912087,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 00:00:00-03:00,S,7,11451.460439514478,57.31,10.879945054945056,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 00:00:00-03:00,SECO,1,40281.6484026607,64.25,17.868251021165985,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 00:00:00-03:00,SECO,7,40620.86643085959,64.25,17.743371704418866,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 01:00:00-03:00,N,1,10079.672177550778,57.31,28.29063063063063,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 01:00:00-03:00,N,7,10009.407703675994,57.31,27.6945945945946,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 01:00:00-03:00,NE,1,15129.555316024682,57.31,25.08502415458937,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 01:00:00-03:00,NE,7,14855.025016272626,57.31,24.750144927536237,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 01:00:00-03:00,S,1,10644.791264286116,57.31,11.418956043956044,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 01:00:00-03:00,S,7,10548.379824328977,57.31,10.837912087912088,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 01:00:00-03:00,SECO,1,38230.01517774005,57.31,17.856516895655403,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 01:00:00-03:00,SECO,7,38277.13405219694,57.31,17.581470479019682,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 02:00:00-03:00,N,1,9906.887735408489,57.31,28.141441441441444,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 02:00:00-03:00,N,7,9760.496400528142,57.31,27.3981981981982,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 02:00:00-03:00,NE,1,14714.972723323412,57.31,24.978840579710145,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 02:00:00-03:00,NE,7,14484.125697505784,57.31,24.591980676328504,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 02:00:00-03:00,S,1,10159.96236185374,57.31,11.257967032967034,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 02:00:00-03:00,S,7,10027.201014931876,57.31,10.898626373626374,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 02:00:00-03:00,SECO,1,36951.93802404775,57.31,17.729223913850724,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 02:00:00-03:00,SECO,7,37029.05901768157,57.31,17.5229112513925,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 03:00:00-03:00,N,1,9591.032639662182,57.31,27.645225225225225,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 03:00:00-03:00,N,7,9518.88049106486,57.31,27.296576576576577,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 03:00:00-03:00,NE,1,14472.283493465722,57.31,24.67913043478261,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 03:00:00-03:00,NE,7,14270.80387045047,57.31,24.617391304347827,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 03:00:00-03:00,S,1,9997.510231106624,57.31,10.975549450549453,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 03:00:00-03:00,S,7,9889.80839225334,57.31,10.989010989010987,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 03:00:00-03:00,SECO,1,36531.59576557785,57.31,17.649610100259935,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 03:00:00-03:00,SECO,7,36240.56163433383,57.31,17.568808020794652,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 04:00:00-03:00,N,1,9365.375377739212,57.31,27.34576576576577,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 04:00:00-03:00,N,7,9301.252483935545,57.31,27.441261261261264,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 04:00:00-03:00,NE,1,14236.908059305842,57.31,24.394685990338164,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 04:00:00-03:00,NE,7,14073.621472554752,57.31,24.973333333333333,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 04:00:00-03:00,S,1,10163.047758680976,57.31,11.018956043956043,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 04:00:00-03:00,S,7,10074.813136435778,57.31,11.190109890109891,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 04:00:00-03:00,SECO,1,36784.25668808493,57.31,17.52020051986632,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 04:00:00-03:00,SECO,7,36395.00449020676,57.31,17.784069810620124,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 05:00:00-03:00,N,1,9196.130104397196,57.31,27.09027027027027,0.1873873873873874,4,0,0,0,0,0,0,0.0
2026-09-18 05:00:00-03:00,N,7,9097.719988717916,57.31,27.707207207207208,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 05:00:00-03:00,NE,1,13871.565146464876,57.31,24.248405797101448,20.60289855072464,4,0,0,0,0,0,0,0.0
2026-09-18 05:00:00-03:00,NE,7,13679.76117627332,57.31,25.54608695652174,22.89951690821256,4,0,0,0,0,0,0,0.0
2026-09-18 05:00:00-03:00,S,1,10997.718499947185,57.31,11.20412087912088,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 05:00:00-03:00,S,7,10965.745646851294,57.31,11.48434065934066,0.0,4,0,0,0,0,0,0,0.0
2026-09-18 05:00:00-03:00,SECO,1,38441.45409844224,57.31,17.30724099517267,0.2900111399925733,4,0,0,0,0,0,0,0.0
2026-09-18 05:00:00-03:00,SECO,7,38270.09082409914,57.31,18.038581507612328,0.0118826587448941,4,0,0,0,0,0,0,0.0
2026-09-18 06:00:00-03:00,N,1,8753.721400658016,57.31,26.73783783783784,36.0,4,0,0,0,0,0,0,0.0
2026-09-18 06:00:00-03:00,N,7,8727.285158109178,57.31,28.16792792792793,35.26846846846847,4,0,0,0,0,0,0,0.0
2026-09-18 06:00:00-03:00,NE,1,13776.797596912686,57.31,24.32135265700483,174.26763285024154,4,0,0,0,0,0,0,0.0
2026-09-18 06:00:00-03:00,NE,7,13496.93287796518,57.31,26.297391304347823,202.57391304347823,4,0,0,0,0,0,0,0.0
2026-09-18 06:00:00-03:00,S,1,12347.282957390318,57.31,11.294505494505495,15.85989010989011,4,0,0,0,0,0,0,0.0
2026-09-18 06:00:00-03:00,S,7,12420.730579057385,57.31,11.881318681318682,12.87087912087912,4,0,0,0,0,0,0,0.0
2026-09-18 06:00:00-03:00,SECO,1,40740.8540057458,57.31,17.159301893798737,40.00371333085778,4,0,0,0,0,0,0,0.0
2026-09-18 06:00:00-03:00,SECO,7,40996.49596016284,57.31,18.460490159673224,42.49387300408466,4,0,0,0,0,0,0,0.0
2026-09-18 07:00:00-03:00,N,1,8952.475565310671,57.31,27.05675675675676,188.39639639639643,4,0,0,0,0,0,0,0.0
2026-09-18 07:00:00-03:00,N,7,8949.123515738018,57.31,28.705225225225227,181.96216216216217,4,0,0,0,0,0,0,0.0
2026-09-18 07:00:00-03:00,NE,1,14299.503737718973,57.31,25.41014492753623,398.1140096618358,4,0,0,0,0,0,0,0.0
2026-09-18 07:00:00-03:00,NE,7,14056.125550494176,57.31,27.06057971014493,417.3739130434783,4,0,0,0,0,0,0,0.0
2026-09-18 07:00:00-03:00,S,1,13770.587762450476,57.31,11.677747252747253,96.74450549450547,4,0,0,0,0,0,0,0.0
2026-09-18 07:00:00-03:00,S,7,13893.4615159527,57.31,12.378296703296703,88.92032967032968,4,0,0,0,0,0,0,0.0
2026-09-18 07:00:00-03:00,SECO,1,43476.054774621065,57.31,17.593130337913106,169.52617898254732,4,0,0,0,0,0,0,0.0
2026-09-18 07:00:00-03:00,SECO,7,43552.28444869805,57.31,18.962532491645003,169.59116227255848,4,0,0,0,0,0,0,0.0
2026-09-18 08:00:00-03:00,N,1,9595.580218325009,57.31,27.96720720720721,375.43963963963967,4,0,0,0,0,0,0,0.0
2026-09-18 08:00:00-03:00,N,7,9609.610437336078,57.31,29.2781981981982,381.4936936936937,4,0,0,0,0,0,0,0.0
2026-09-18 08:00:00-03:00,NE,1,15187.274228727108,57.31,26.51256038647343,600.1826086956522,4,0,0,0,0,0,0,0.0
2026-09-18 08:00:00-03:00,NE,7,14794.912751073734,57.31,27.736811594202894,582.1816425120774,4,0,0,0,0,0,0,0.0
2026-09-18 08:00:00-03:00,S,1,14666.696697289415,57.31,12.659615384615384,186.01098901098905,4,0,0,0,0,0,0,0.0
2026-09-18 08:00:00-03:00,S,7,14490.815807952747,57.31,12.970054945054946,239.4862637362637,4,0,0,0,0,0,0,0.0
2026-09-18 08:00:00-03:00,SECO,1,45704.14906015998,57.31,18.582101745265504,291.60155959896025,4,0,0,0,0,0,0,0.0
2026-09-18 08:00:00-03:00,SECO,7,46022.06003376984,57.31,19.50943186037876,291.5870776086149,4,0,0,0,0,0,0,0.0
2026-09-18 09:00:00-03:00,N,1,10134.621346931655,57.31,29.122702702702703,578.8540540540541,4,0,0,0,0,0,0,0.0
2026-09-18 09:00:00-03:00,N,7,10135.651317774358,57.31,30.003603603603604,619.0612612612613,4,0,0,0,0,0,0,0.0
2026-09-18 09:00:00-03:00,NE,1,15563.501171403132,57.31,27.806763285024157,770.1294685990338,4,0,0,0,0,0,0,0.0
2026-09-18 09:00:00-03:00,NE,7,15251.471055222892,57.31,28.228309178743963,797.7884057971014,4,0,0,0,0,0,0,0.0
2026-09-18 09:00:00-03:00,S,1,14686.33841246234,57.31,14.197252747252747,327.9230769230769,4,0,0,0,0,0,0,0.0
2026-09-18 09:00:00-03:00,S,7,14643.624877625827,57.31,13.04642857142857,436.2417582417583,4,0,0,0,0,0,0,0.0
2026-09-18 09:00:00-03:00,SECO,1,47423.42274873432,57.31,19.819494987003345,462.4753063497957,4,0,0,0,0,0,0,0.0
2026-09-18 09:00:00-03:00,SECO,7,48403.85251501643,57.31,20.316672855551428,456.7300408466394,4,0,0,0,0,0,0,0.0
2026-09-18 10:00:00-03:00,N,1,10560.16790556147,57.31,30.704324324324325,788.0036036036036,4,0,0,0,0,0,0,0.0
2026-09-18 10:00:00-03:00,N,7,10567.738400756642,57.31,30.75837837837838,775.2990990990992,4,0,0,0,0,0,0,0.0
2026-09-18 10:00:00-03:00,NE,1,15873.368838766595,57.31,28.490531400966184,874.2289855072464,4,0,0,0,0,0,0,0.0
2026-09-18 10:00:00-03:00,NE,7,15426.485079585234,57.31,28.47217391304348,897.9777777777778,4,0,0,0,0,0,0,0.0
2026-09-18 10:00:00-03:00,S,1,15359.24966515573,57.31,15.61923076923077,541.7857142857143,4,0,0,0,0,0,0,0.0
2026-09-18 10:00:00-03:00,S,7,15347.952471412487,57.31,14.133516483516484,547.3434065934066,4,0,0,0,0,0,0,0.0
2026-09-18 10:00:00-03:00,SECO,1,49336.49952700554,57.31,21.404604530263647,555.874489417007,4,0,0,0,0,0,0,0.0
2026-09-18 10:00:00-03:00,SECO,7,50004.68967558476,57.31,21.113999257333827,551.4901596732268,4,0,0,0,0,0,0,0.0
2026-09-18 11:00:00-03:00,N,1,10688.65214356368,57.31,32.034414414414414,905.4144144144144,4,0,0,0,0,0,0,0.0
2026-09-18 11:00:00-03:00,N,7,10713.036370713164,57.31,31.769729729729733,872.5027027027028,4,0,0,0,0,0,0,0.0
2026-09-18 11:00:00-03:00,NE,1,15747.375765997738,57.31,28.757584541062805,901.1130434782608,4,0,0,0,0,0,0,0.0
2026-09-18 11:00:00-03:00,NE,7,15484.40827128906,57.31,28.68550724637681,927.9391304347826,4,0,0,0,0,0,0,0.0
